0 0.5
0.05 0.512497
0.1 0.524979
0.15 0.53743
0.2 0.549834
0.25 0.562177
0.3 0.574443
0.35 0.586618
0.4 0.598688
0.45 0.610639
0.5 0.622459
0.55 0.634136
0.6 0.645656
0.65 0.65701
0.7 0.668188
0.75 0.679179
0.8 0.689974
0.85 0.700567
0.9 0.710949
0.95 0.721114
1 0.731057
1.05 0.740772
1.1 0.750256
1.15 0.759506
1.2 0.76852
1.25 0.777295
1.3 0.78583
1.35 0.794125
1.4 0.802179
1.45 0.809994
1.5 0.81757
1.55 0.82491
1.6 0.832014
1.65 0.838887
1.7 0.845532
1.75 0.85195
1.8 0.858148
1.85 0.864128
1.9 0.869895
1.95 0.875454
2 0.880798
2.05 0.885949
2.1 0.890904
2.15 0.895669
2.2 0.90025
2.25 0.904651
2.3 0.908878
2.35 0.912935
2.4 0.916829
2.45 0.920565
2.5 0.924147
2.55 0.927582
2.6 0.93087
2.65 0.934019
2.7 0.937035
2.75 0.939921
2.8 0.942683
2.85 0.945326
2.9 0.947853
2.95 0.95027
3 0.95258
